Email,Unknown1,CouponCode,StartDate,EndDate,UsageLimit,Value,CouponValue,CreationDate,ProblemID,StoreID,GeoName,State,City,StoreName,Channel,ContactReason,Item,Agent
customer144@email.com,,COUP0085,2023-09-30 12:03:05,2024-04-17 01:16:11,16,22.56,46.31 off,2022-01-02 15:44:15,,,South,TX,Meadowbrook,Store_19,Web,Delivery,CrispSoda Product,Agent_18
customer161@email.com,,COUP0072,2024-05-18 10:59:58,2025-09-05 11:13:58,52,35.95,37.76 off,2023-06-26 16:36:38,636995,,Central,CA,Georgetown,Store_39,Web,Refund,BubbleWave Product,Agent_3
customer429@email.com,,COUP0013,2023-10-31 04:30:00,2024-03-31 11:36:27,59,12.12,6.24 off,2023-09-28 02:09:51,519626,,North,FL,Springfield,Store_21,Web,Quality,CrispSoda Product,Agent_20
customer11@email.com,,COUP0191,2024-07-30 02:38:14,2025-06-21 03:51:47,67,29.13,22.93 off,2024-02-23 01:37:46,189582,4,South,OH,Springfield,Store_20,Phone,Refund,RefreshPlus Product,Agent_5
customer274@email.com,,COUP0094,2023-01-29 14:54:50,2025-12-14 11:21:07,29,9.96,39.95 off,2022-11-30 20:24:51,,33,South,OH,Riverside,Store_16,Phone,Refund,CrispSoda Product,Agent_17
customer169@email.com,,COUP0041,2024-06-18 04:43:34,2024-12-09 03:48:20,82,7.80,26.39 off,2023-08-28 14:52:06,832044,,West,TX,Riverside,Store_17,Mobile,Refund,FizzCola Product,Agent_13
customer173@email.com,,COUP0003,2024-05-05 10:03:44,2024-06-08 02:49:22,6,28.20,35.32 off,2023-12-26 10:43:26,,22,North,OH,Springfield,Store_46,Mobile,Refund,BubbleWave Product,Agent_19
customer495@email.com,,COUP0097,2024-03-25 19:51:29,2024-08-02 14:29:38,8,7.36,6.12 off,2023-12-25 23:48:12,869963,,Central,TX,Meadowbrook,Store_34,Mobile,Delivery,BubbleWave Product,Agent_1
customer214@email.com,,COUP0045,2024-09-30 12:28:00,2025-02-19 16:58:05,43,43.25,7.19 off,2022-05-14 14:54:29,,28,North,CA,Meadowbrook,Store_14,Web,Quality,PopMax Product,Agent_20
customer126@email.com,,COUP0124,2023-10-27 11:20:48,2023-11-28 20:26:54,91,27.47,27.67 off,2023-09-17 10:51:12,561823,,Central,TX,Georgetown,Store_35,Mobile,Quality,RefreshPlus Product,Agent_19
customer493@email.com,,COUP0165,2023-07-04 21:58:28,2024-10-21 17:03:33,5,22.28,34.25 off,2022-01-16 23:16:38,,,North,OH,Lakeside,Store_8,Web,Product Issue,PopMax Product,Agent_2
customer209@email.com,,COUP0148,2024-07-03 11:24:49,2024-09-19 02:54:16,32,33.24,24.27 off,2023-02-08 23:07:09,500235,,East,IL,Lakeside,Store_17,Web,Product Issue,FizzCola Product,Agent_3
